epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3414,1.02043,1.47532,1.12913,0.786,0.86284,0.8875,0.75174,0.70591,1.11291,1.02659,0.000553908,0.000553908,0.000553908
2,33.2478,0.90847,1.01556,1.08423,0.85218,0.88706,0.9331,0.81401,0.61963,0.94243,0.98491,0.00108761,0.00108761,0.00108761
3,48.1195,0.86665,0.90443,1.07397,0.71027,0.86115,0.87852,0.74101,0.71599,1.05664,1.02747,0.0015993,0.0015993,0.0015993
4,63.0115,0.85824,0.83803,1.06843,0.79694,0.92448,0.93709,0.80899,0.66998,0.89288,1.00679,0.00156798,0.00156798,0.00156798
5,77.9207,0.7956,0.79463,1.0373,0.83996,0.90072,0.92624,0.80806,0.65016,0.82122,1.01643,0.00153497,0.00153497,0.00153497
6,92.8483,0.7649,0.73266,1.0197,0.84535,0.89752,0.93304,0.82328,0.63533,0.83874,1.00212,0.00150197,0.00150197,0.00150197
7,107.823,0.77202,0.71702,1.03058,0.86931,0.86385,0.93214,0.83973,0.61148,0.74254,0.99371,0.00146896,0.00146896,0.00146896
8,122.892,0.78067,0.70539,1.0372,0.88348,0.87662,0.94215,0.83226,0.61788,0.73863,0.9956,0.00143595,0.00143595,0.00143595
9,137.937,0.75583,0.69562,1.01857,0.836,0.89655,0.94095,0.83595,0.60235,0.7848,0.96823,0.00140295,0.00140295,0.00140295
10,153.075,0.73591,0.65585,1.01029,0.89287,0.87635,0.94862,0.8666,0.5932,0.68512,0.99778,0.00136994,0.00136994,0.00136994
11,168.281,0.729,0.646,1.01441,0.87015,0.90018,0.94531,0.84388,0.6061,0.71297,0.97992,0.00133693,0.00133693,0.00133693
12,183.58,0.72163,0.63973,0.99847,0.90229,0.89459,0.95153,0.85351,0.59294,0.70684,0.9804,0.00130393,0.00130393,0.00130393
13,198.915,0.68099,0.63918,0.98747,0.89321,0.89415,0.95451,0.85519,0.56537,0.70996,0.95509,0.00127092,0.00127092,0.00127092
14,214.095,0.72776,0.63002,1.00951,0.89131,0.90145,0.95142,0.86581,0.54915,0.68804,0.96134,0.00123791,0.00123791,0.00123791
15,229.282,0.6857,0.60596,0.98371,0.87272,0.90675,0.95414,0.86342,0.5746,0.65851,0.96989,0.00120491,0.00120491,0.00120491
